No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
18024;815.025.027.316;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=966/50691, ttl=64 (no response found!);172;;192.168.1.109;;
18025;815.027.639.255;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=966/50691, ttl=64 (no response found!);161;;192.168.1.109;;
18026;815.027.687.158;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=966/50691, ttl=64 (no response found!);161;;192.168.1.109;;
18027;815.027.714.188;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=966/50691, ttl=64 (no response found!);161;;192.168.1.109;;
18028;815.028.273.137;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=966/50691, ttl=64 (reply in 18029);161;;192.168.1.109;;
18029;815.032.864.272;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=966/50691, ttl=64 (request in 18028);161;;192.168.1.109;;
18030;815.034.381.426;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=966/50691, ttl=64;161;;192.168.1.109;;
18039;815.710.531.224;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1088/16388, ttl=64 (no response found!);158;192.168.1.105;;;
18040;815.796.346.882;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1088/16388, ttl=64 (reply in 18041);158;192.168.1.105;;;
18041;815.802.810.207;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1088/16388, ttl=64 (request in 18040);161;192.168.1.105;;;
18042;815.804.340.117;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1088/16388, ttl=64;161;192.168.1.105;;;
18043;816.028.508.868;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (no response found!);172;;192.168.1.109;;
18044;816.031.178.614;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (no response found!);161;;192.168.1.109;;
18045;816.031.223.044;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (no response found!);161;;192.168.1.109;;
18046;816.031.250.409;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (no response found!);161;;192.168.1.109;;
18047;816.031.620.293;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (no response found!);161;;192.168.1.109;;
18048;816.032.331.611;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=967/50947, ttl=64 (reply in 18049);158;;192.168.1.109;;
18049;816.035.890.195;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=967/50947, ttl=64 (request in 18048);161;;192.168.1.109;;
18050;816.206.079.161;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=967/50947, ttl=64;161;;192.168.1.109;;
18062;816.712.106.310;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1089/16644, ttl=64 (no response found!);158;192.168.1.105;;;
18064;816.931.597.261;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1089/16644, ttl=64 (reply in 18065);158;192.168.1.105;;;
18065;817.014.131.772;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64 (request in 18064);161;192.168.1.105;;;
18066;817.015.854.006;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64;161;192.168.1.105;;;
18067;817.015.898.116;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64;161;192.168.1.105;;;
18068;817.016.776.008;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64;161;192.168.1.105;;;
18069;817.016.808.215;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64;161;192.168.1.105;;;
18070;817.017.513.575;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1089/16644, ttl=64;161;192.168.1.105;;;
18071;817.030.410.140;-74 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=968/51203, ttl=64 (no response found!);172;;192.168.1.109;;
18072;817.032.764.501;-47 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=968/51203, ttl=64 (reply in 18073);158;;192.168.1.109;;
18073;817.041.303.954;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=968/51203, ttl=64 (request in 18072);161;;192.168.1.109;;
18074;817.042.251.184;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=968/51203, ttl=64;161;;192.168.1.109;;
18075;817.042.296.849;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=968/51203, ttl=64;161;;192.168.1.109;;
18086;817.712.819.421;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1090/16900, ttl=64 (no response found!);158;192.168.1.105;;;
18087;817.741.536.526;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1090/16900, ttl=64 (reply in 18088);161;192.168.1.105;;;
18088;817.895.020.400;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1090/16900, ttl=64 (request in 18087);161;192.168.1.105;;;
18089;817.896.575.208;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1090/16900, ttl=64;161;192.168.1.105;;;
18090;818.049.422.891;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=969/51459, ttl=64 (no response found!);161;;192.168.1.109;;
18091;818.049.455.674;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=969/51459, ttl=64 (no response found!);161;;192.168.1.109;;
18092;818.049.486.556;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=969/51459, ttl=64 (no response found!);161;;192.168.1.109;;
18093;818.050.057.474;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=969/51459, ttl=64 (no response found!);161;;192.168.1.109;;
18094;818.052.575.606;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=969/51459, ttl=64 (reply in 18095);158;;192.168.1.109;;
18095;818.057.694.641;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=969/51459, ttl=64 (request in 18094);161;;192.168.1.109;;
18108;818.713.452.822;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1091/17156, ttl=64 (no response found!);161;192.168.1.105;;;
18109;818.715.524.447;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1091/17156, ttl=64 (no response found!);158;192.168.1.105;;;
18110;818.715.555.531;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1091/17156, ttl=64 (no response found!);158;192.168.1.105;;;
18111;818.716.204.364;-47 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1091/17156, ttl=64 (reply in 18112);158;192.168.1.105;;;
18112;818.757.735.388;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64 (request in 18111);161;192.168.1.105;;;
18113;818.760.194.956;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64;161;192.168.1.105;;;
18114;818.760.246.756;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64;161;192.168.1.105;;;
18115;818.760.274.525;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64;161;192.168.1.105;;;
18116;818.760.300.700;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64;161;192.168.1.105;;;
18117;818.760.327.043;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1091/17156, ttl=64;161;192.168.1.105;;;
18118;819.035.032.061;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);172;;192.168.1.109;;
18119;819.037.182.258;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);158;;192.168.1.109;;
18120;819.037.213.638;-47 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);158;;192.168.1.109;;
18121;819.039.637.380;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);158;;192.168.1.109;;
18122;819.039.671.360;-55 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);158;;192.168.1.109;;
18123;819.043.179.546;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (no response found!);158;;192.168.1.109;;
18124;819.046.256.528;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=970/51715, ttl=64 (reply in 18125);172;;192.168.1.109;;
18125;819.071.545.589;-76 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=970/51715, ttl=64 (request in 18124);158;;192.168.1.109;;
18126;819.071.589.660;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=970/51715, ttl=64;161;;192.168.1.109;;
18134;819.715.262.603;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1092/17412, ttl=64 (no response found!);161;192.168.1.105;;;
18135;819.718.166.395;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1092/17412, ttl=64 (reply in 18136);158;192.168.1.105;;;
18136;819.882.777.461;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1092/17412, ttl=64 (request in 18135);158;192.168.1.105;;;
18137;819.884.224.441;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1092/17412, ttl=64;161;192.168.1.105;;;
18140;820.032.833.634;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=971/51971, ttl=64 (no response found!);172;;192.168.1.109;;
18141;820.035.633.385;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=971/51971, ttl=64 (reply in 18142);158;;192.168.1.109;;
18142;820.040.855.472;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=971/51971, ttl=64 (request in 18141);158;;192.168.1.109;;
18143;820.042.374.026;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=971/51971, ttl=64;161;;192.168.1.109;;
18146;820.716.140.439;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1093/17668, ttl=64 (no response found!);161;192.168.1.105;;;
18147;820.718.149.324;-46 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1093/17668, ttl=64 (reply in 18148);158;192.168.1.105;;;
18148;820.725.682.322;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1093/17668, ttl=64 (request in 18147);158;192.168.1.105;;;
18149;820.727.251.524;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1093/17668, ttl=64;161;192.168.1.105;;;
18164;821.036.626.240;-74 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=972/52227, ttl=64 (no response found!);172;;192.168.1.109;;
18165;821.121.100.527;-53 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=972/52227, ttl=64 (reply in 18166);161;;192.168.1.109;;
18166;821.128.758.777;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=972/52227, ttl=64 (request in 18165);158;;192.168.1.109;;
18167;821.130.442.629;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=972/52227, ttl=64;161;;192.168.1.109;;
18168;821.130.473.836;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=972/52227, ttl=64;161;;192.168.1.109;;
18173;821.717.670.706;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (no response found!);161;192.168.1.105;;;
18179;821.838.287.888;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (no response found!);161;192.168.1.105;;;
18180;821.838.332.996;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (no response found!);161;192.168.1.105;;;
18181;821.838.359.870;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (no response found!);161;192.168.1.105;;;
18182;821.839.897.566;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (no response found!);161;192.168.1.105;;;
18183;821.839.945.861;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1094/17924, ttl=64 (reply in 18184);158;192.168.1.105;;;
18184;821.975.818.488;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1094/17924, ttl=64 (request in 18183);158;192.168.1.105;;;
18185;821.977.416.036;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1094/17924, ttl=64;161;192.168.1.105;;;
18186;822.037.331.764;-73 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=973/52483, ttl=64 (no response found!);172;;192.168.1.109;;
18187;822.040.745.606;-56 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=973/52483, ttl=64 (reply in 18188);158;;192.168.1.109;;
18188;822.045.620.795;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=973/52483, ttl=64 (request in 18187);158;;192.168.1.109;;
18189;822.046.932.880;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=973/52483, ttl=64;161;;192.168.1.109;;
18194;822.718.270.709;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (no response found!);161;192.168.1.105;;;
18202;822.889.948.730;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (no response found!);158;192.168.1.105;;;
18203;822.890.633.078;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (no response found!);158;192.168.1.105;;;
18204;822.892.255.384;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (no response found!);158;192.168.1.105;;;
18205;822.893.652.877;-47 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (no response found!);158;192.168.1.105;;;
18206;822.895.186.698;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1095/18180, ttl=64 (reply in 18207);158;192.168.1.105;;;
18207;822.899.828.254;-70 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1095/18180, ttl=64 (request in 18206);158;192.168.1.105;;;
18208;822.920.719.190;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1095/18180, ttl=64;158;192.168.1.105;;;
18209;822.921.932.138;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=1095/18180, ttl=64;161;192.168.1.105;;;
18211;823.037.534.345;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=974/52739, ttl=64 (no response found!);172;;192.168.1.109;;
18212;823.040.914.904;-56 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=974/52739, ttl=64 (no response found!);158;;192.168.1.109;;
18213;823.041.456.620;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=974/52739, ttl=64 (no response found!);158;;192.168.1.109;;
18214;823.043.311.445;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=974/52739, ttl=64 (no response found!);158;;192.168.1.109;;
18215;823.045.368.766;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=974/52739, ttl=64 (no response found!);158;;192.168.1.109;;
18227;823.755.125.938;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18228;823.770.082.355;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18229;823.828.436.453;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18230;823.853.512.454;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18231;823.865.075.280;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18232;823.874.960.893;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18233;823.893.210.918;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18242;823.929.583.388;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18243;823.952.281.204;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18244;823.970.244.906;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18245;824.019.782.265;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18246;824.051.957.035;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18247;824.054.287.516;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18248;824.078.722.620;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18249;824.080.543.243;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18250;824.121.218.704;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18251;824.158.565.415;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18252;824.184.844.000;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18253;824.230.819.059;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18254;824.243.637.734;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18255;824.254.611.420;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18256;824.278.732.819;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18257;824.320.034.771;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18258;824.364.886.033;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18259;824.377.369.576;-73 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=975/52995, ttl=64 (no response found!);172;;192.168.1.109;;
18260;824.408.515.251;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18261;824.463.203.721;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18262;824.480.183.971;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18263;824.501.493.768;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18278;824.960.398.810;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);161;192.168.1.105;;;
18279;824.963.114.120;-59 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18280;824.989.962.688;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18281;825.156.671.978;-73 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);172;;192.168.1.109;;
18282;825.188.156.256;-56 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=975/52995, ttl=64 (no response found!);158;;192.168.1.109;;
18283;825.204.941.309;-47 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=975/52995, ttl=64 (no response found!);158;;192.168.1.109;;
18284;825.214.165.856;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=975/52995, ttl=64 (no response found!);158;;192.168.1.109;;
18285;825.219.638.788;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=975/52995, ttl=64 (reply in 18301);158;;192.168.1.109;;
18286;825.221.443.508;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18287;825.223.010.905;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18288;825.224.545.799;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18289;825.227.118.566;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18290;825.228.979.298;-48 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1096/18436, ttl=64 (no response found!);158;192.168.1.105;;;
18291;825.230.499.490;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18292;825.234.366.690;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18293;825.236.019.800;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18294;825.238.209.440;-47 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18295;825.242.047.315;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1097/18692, ttl=64 (no response found!);158;192.168.1.105;;;
18296;825.243.815.687;-48 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);158;;192.168.1.109;;
18297;825.245.516.100;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);158;;192.168.1.109;;
18298;825.247.554.864;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);158;;192.168.1.109;;
18299;825.249.455.526;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);158;;192.168.1.109;;
18300;825.251.761.477;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=976/53251, ttl=64 (no response found!);158;;192.168.1.109;;
18301;825.484.478.212;-72 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=975/52995, ttl=64 (request in 18285);158;;192.168.1.109;;
18308;825.807.084.911;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18309;825.816.823.603;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18310;825.819.091.809;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18311;825.825.929.391;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18312;825.849.373.716;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18313;825.897.601.498;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18314;825.923.593.737;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18315;825.999.976.711;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
18316;826.041.196.528;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=1098/18948, ttl=64 (no response found!);158;192.168.1.105;;;
